title,genre,store,ownership,status,rating,hours_played,completion_percentage,priority,date_added,notes,steam_appid
Airport Firefighters - The Simulation,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 350530,350530
Intergalactic Bubbles,Unknown,Steam,Owned,In Progress,0,3.8,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 351490,351490
The Silent Age,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 352520,352520
Middle-earth™: Shadow of War™,Unknown,Steam,Owned,In Progress,0,86.7,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 356190,356190
Arctic Adventure,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358170,358170
Bio Menace,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358180,358180
Blake Stone: Aliens of Gold,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358190,358190
Math Rescue,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358200,358200
Monster Bash,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358210,358210
Mystic Towers,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358220,358220
Paganitzu,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358230,358230
Monuments of Mars,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358240,358240
Cosmo's Cosmic Adventure,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358250,358250
Crystal Caves,Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358260,358260
Death Rally (Classic),Unknown,Steam,Owned,Not Started,0,0.0,0,Medium,24/05/2026,Imported from linked Steam account. AppID: 358270,358270
